"Date","sulfate","nitrate","ID"
"2010-01-01",NA,NA,"L1000488"
"2010-01-02",NA,NA,"L1000488"
"2010-01-03",NA,NA,"L1000488"
"2010-01-04",NA,NA,"L1000488"
"2010-01-05",NA,NA,"L1000488"
"2010-01-06",NA,NA,"L1000488"
"2010-01-07",NA,NA,"L1000488"
"2010-01-08",NA,NA,"L1000488"
"2010-01-09",NA,NA,"L1000488"
"2010-01-10",NA,NA,"L1000488"
"2010-01-11",NA,NA,"L1000488"
"2010-01-12",NA,NA,"L1000488"
"2010-01-13",NA,NA,"L1000488"
"2010-01-14",NA,NA,"L1000488"
"2010-01-15",NA,NA,"L1000488"
"2010-01-16",NA,NA,"L1000488"
"2010-01-17",NA,NA,"L1000488"
"2010-01-18",NA,NA,"L1000488"
"2010-01-19",2.3,0.699,"L1000488"
"2010-01-20",NA,NA,"L1000488"
"2010-01-21",NA,NA,"L1000488"
"2010-01-22",NA,NA,"L1000488"
"2010-01-23",NA,NA,"L1000488"
"2010-01-24",NA,NA,"L1000488"
"2010-01-25",2.19,4.97,"L1000488"
"2010-01-26",NA,NA,"L1000488"
"2010-01-27",NA,NA,"L1000488"
"2010-01-28",NA,NA,"L1000488"
"2010-01-29",NA,NA,"L1000488"
"2010-01-30",NA,NA,"L1000488"
"2010-01-31",1.2,1.33,"L1000488"
"2010-02-01",NA,NA,"L1000488"
"2010-02-02",NA,NA,"L1000488"
"2010-02-03",2.23,1.91,"L1000488"
"2010-02-04",NA,NA,"L1000488"
"2010-02-05",NA,NA,"L1000488"
"2010-02-06",4.15,1.39,"L1000488"
"2010-02-07",NA,NA,"L1000488"
"2010-02-08",NA,NA,"L1000488"
"2010-02-09",3,0.867,"L1000488"
"2010-02-10",NA,NA,"L1000488"
"2010-02-11",NA,NA,"L1000488"
"2010-02-12",4.04,1.41,"L1000488"
"2010-02-13",NA,NA,"L1000488"
"2010-02-14",NA,NA,"L1000488"
"2010-02-15",4.79,0.582,"L1000488"
"2010-02-16",NA,NA,"L1000488"
"2010-02-17",NA,NA,"L1000488"
"2010-02-18",2.05,3.57,"L1000488"
"2010-02-19",NA,NA,"L1000488"
"2010-02-20",NA,NA,"L1000488"
"2010-02-21",7.93,2.21,"L1000488"
"2010-02-22",NA,NA,"L1000488"
"2010-02-23",NA,NA,"L1000488"
"2010-02-24",7.74,0.735,"L1000488"
"2010-02-25",NA,NA,"L1000488"
"2010-02-26",NA,NA,"L1000488"
"2010-02-27",2.63,1.57,"L1000488"
"2010-02-28",NA,NA,"L1000488"
"2010-03-01",NA,NA,"L1000488"
"2010-03-02",3.8,1.37,"L1000488"
"2010-03-03",NA,NA,"L1000488"
"2010-03-04",NA,NA,"L1000488"
"2010-03-05",3.52,3.85,"L1000488"
"2010-03-06",NA,NA,"L1000488"
"2010-03-07",NA,NA,"L1000488"
"2010-03-08",3.7,1.79,"L1000488"
"2010-03-09",NA,NA,"L1000488"
"2010-03-10",NA,NA,"L1000488"
"2010-03-11",3.9,1.63,"L1000488"
"2010-03-12",NA,NA,"L1000488"
"2010-03-13",NA,NA,"L1000488"
"2010-03-14",2.72,1.18,"L1000488"
"2010-03-15",NA,NA,"L1000488"
"2010-03-16",NA,NA,"L1000488"
"2010-03-17",5.95,0.655,"L1000488"
"2010-03-18",NA,NA,"L1000488"
"2010-03-19",NA,NA,"L1000488"
"2010-03-20",2.11,0.764,"L1000488"
"2010-03-21",NA,NA,"L1000488"
"2010-03-22",NA,NA,"L1000488"
"2010-03-23",6.4,2.81,"L1000488"
"2010-03-24",NA,NA,"L1000488"
"2010-03-25",NA,NA,"L1000488"
"2010-03-26",2.67,2.61,"L1000488"
"2010-03-27",NA,NA,"L1000488"
"2010-03-28",NA,NA,"L1000488"
"2010-03-29",3.92,2.19,"L1000488"
"2010-03-30",NA,NA,"L1000488"
"2010-03-31",NA,NA,"L1000488"
"2010-04-01",2.06,0.881,"L1000488"
"2010-04-02",NA,NA,"L1000488"
"2010-04-03",NA,NA,"L1000488"
"2010-04-04",1.89,1.17,"L1000488"
"2010-04-05",NA,NA,"L1000488"
"2010-04-06",NA,NA,"L1000488"
"2010-04-07",7.56,0.681,"L1000488"
"2010-04-08",NA,NA,"L1000488"
"2010-04-09",NA,NA,"L1000488"
"2010-04-10",6.87,1.12,"L1000488"
"2010-04-11",NA,NA,"L1000488"
"2010-04-12",NA,NA,"L1000488"
"2010-04-13",NA,NA,"L1000488"
"2010-04-14",NA,NA,"L1000488"
"2010-04-15",NA,NA,"L1000488"
"2010-04-16",3,0.596,"L1000488"
"2010-04-17",NA,NA,"L1000488"
"2010-04-18",NA,NA,"L1000488"
"2010-04-19",3.42,1.16,"L1000488"
"2010-04-20",NA,NA,"L1000488"
"2010-04-21",NA,NA,"L1000488"
"2010-04-22",3.76,0.713,"L1000488"
"2010-04-23",NA,NA,"L1000488"
"2010-04-24",NA,NA,"L1000488"
"2010-04-25",3.11,1.57,"L1000488"
"2010-04-26",NA,NA,"L1000488"
"2010-04-27",NA,NA,"L1000488"
"2010-04-28",NA,NA,"L1000488"
"2010-04-29",NA,NA,"L1000488"
"2010-04-30",NA,NA,"L1000488"
"2010-05-01",11.1,1,"L1000488"
"2010-05-02",NA,NA,"L1000488"
"2010-05-03",NA,NA,"L1000488"
"2010-05-04",4.6,0.859,"L1000488"
"2010-05-05",NA,NA,"L1000488"
"2010-05-06",NA,NA,"L1000488"
"2010-05-07",10.3,0.801,"L1000488"
"2010-05-08",NA,NA,"L1000488"
"2010-05-09",NA,NA,"L1000488"
"2010-05-10",4.7,1.23,"L1000488"
"2010-05-11",NA,NA,"L1000488"
"2010-05-12",NA,NA,"L1000488"
"2010-05-13",3.54,0.739,"L1000488"
"2010-05-14",NA,NA,"L1000488"
"2010-05-15",NA,NA,"L1000488"
"2010-05-16",NA,NA,"L1000488"
"2010-05-17",NA,NA,"L1000488"
"2010-05-18",NA,NA,"L1000488"
"2010-05-19",5.29,0.638,"L1000488"
"2010-05-20",NA,NA,"L1000488"
"2010-05-21",NA,NA,"L1000488"
"2010-05-22",1.51,0.505,"L1000488"
"2010-05-23",NA,NA,"L1000488"
"2010-05-24",NA,NA,"L1000488"
"2010-05-25",1.5,0.531,"L1000488"
"2010-05-26",NA,NA,"L1000488"
"2010-05-27",NA,NA,"L1000488"
"2010-05-28",4.38,0.615,"L1000488"
"2010-05-29",NA,NA,"L1000488"
