"Date","sulfate","nitrate","ID"
"2015-01-01",NA,NA,"L2000260"
"2015-01-02",NA,NA,"L2000260"
"2015-01-03",NA,NA,"L2000260"
"2015-01-04",NA,NA,"L2000260"
"2015-01-05",NA,NA,"L2000260"
"2015-01-06",NA,NA,"L2000260"
"2015-01-07",NA,NA,"L2000260"
"2015-01-08",3.83,2.21,"L2000260"
"2015-01-09",NA,NA,"L2000260"
"2015-01-10",NA,NA,"L2000260"
"2015-01-11",NA,NA,"L2000260"
"2015-01-12",NA,NA,"L2000260"
"2015-01-13",NA,NA,"L2000260"
"2015-01-14",NA,NA,"L2000260"
"2015-01-15",NA,NA,"L2000260"
"2015-01-16",NA,NA,"L2000260"
"2015-01-17",NA,NA,"L2000260"
"2015-01-18",NA,NA,"L2000260"
"2015-01-19",NA,NA,"L2000260"
"2015-01-20",NA,NA,"L2000260"
"2015-01-21",NA,NA,"L2000260"
"2015-01-22",NA,NA,"L2000260"
"2015-01-23",NA,NA,"L2000260"
"2015-01-24",NA,NA,"L2000260"
"2015-01-25",NA,NA,"L2000260"
"2015-01-26",1.26,0.624,"L2000260"
"2015-01-27",NA,NA,"L2000260"
"2015-01-28",NA,NA,"L2000260"
"2015-01-29",NA,NA,"L2000260"
"2015-01-30",NA,NA,"L2000260"
"2015-01-31",NA,NA,"L2000260"
"2015-02-01",1.58,0.671,"L2000260"
"2015-02-02",NA,NA,"L2000260"
"2015-02-03",NA,NA,"L2000260"
"2015-02-04",1.4,0.432,"L2000260"
"2015-02-05",NA,NA,"L2000260"
"2015-02-06",NA,NA,"L2000260"
"2015-02-07",1.89,0.825,"L2000260"
"2015-02-08",NA,NA,"L2000260"
"2015-02-09",NA,NA,"L2000260"
"2015-02-10",2.58,2.25,"L2000260"
"2015-02-11",NA,NA,"L2000260"
"2015-02-12",NA,NA,"L2000260"
"2015-02-13",2.3,0.936,"L2000260"
"2015-02-14",NA,NA,"L2000260"
"2015-02-15",NA,NA,"L2000260"
"2015-02-16",2.02,0.486,"L2000260"
"2015-02-17",NA,NA,"L2000260"
"2015-02-18",NA,NA,"L2000260"
"2015-02-19",2.46,0.864,"L2000260"
