"Date","sulfate","nitrate","ID"
"2011-01-01",NA,NA,"L1000672"
"2011-01-02",NA,NA,"L1000672"
"2011-01-03",NA,NA,"L1000672"
"2011-01-04",NA,NA,"L1000672"
"2011-01-05",NA,NA,"L1000672"
"2011-01-06",NA,NA,"L1000672"
"2011-01-07",NA,NA,"L1000672"
"2011-01-08",NA,NA,"L1000672"
"2011-01-09",NA,NA,"L1000672"
"2011-01-10",NA,NA,"L1000672"
"2011-01-11",NA,NA,"L1000672"
"2011-01-12",NA,NA,"L1000672"
"2011-01-13",NA,NA,"L1000672"
"2011-01-14",NA,NA,"L1000672"
"2011-01-15",NA,NA,"L1000672"
"2011-01-16",NA,NA,"L1000672"
"2011-01-17",NA,NA,"L1000672"
"2011-01-18",NA,NA,"L1000672"
"2011-01-19",NA,NA,"L1000672"
"2011-01-20",NA,NA,"L1000672"
"2011-01-21",NA,NA,"L1000672"
"2011-01-22",NA,NA,"L1000672"
"2011-01-23",NA,NA,"L1000672"
"2011-01-24",NA,NA,"L1000672"
"2011-01-25",NA,NA,"L1000672"
"2011-01-26",NA,NA,"L1000672"
"2011-01-27",NA,NA,"L1000672"
"2011-01-28",NA,NA,"L1000672"
"2011-01-29",NA,NA,"L1000672"
"2011-01-30",NA,NA,"L1000672"
"2011-01-31",NA,NA,"L1000672"
"2011-02-01",NA,NA,"L1000672"
"2011-02-02",NA,NA,"L1000672"
"2011-02-03",NA,NA,"L1000672"
"2011-02-04",NA,NA,"L1000672"
"2011-02-05",NA,NA,"L1000672"
"2011-02-06",NA,NA,"L1000672"
"2011-02-07",2.45,0.441,"L1000672"
"2011-02-08",NA,NA,"L1000672"
"2011-02-09",NA,NA,"L1000672"
"2011-02-10",NA,NA,"L1000672"
"2011-02-11",NA,NA,"L1000672"
"2011-02-12",NA,NA,"L1000672"
"2011-02-13",2.64,0.896,"L1000672"
"2011-02-14",NA,NA,"L1000672"
"2011-02-15",NA,NA,"L1000672"
"2011-02-16",NA,NA,"L1000672"
"2011-02-17",NA,NA,"L1000672"
"2011-02-18",NA,NA,"L1000672"
"2011-02-19",2.43,1.07,"L1000672"
"2011-02-20",NA,NA,"L1000672"
"2011-02-21",NA,NA,"L1000672"
"2011-02-22",NA,NA,"L1000672"
"2011-02-23",NA,NA,"L1000672"
"2011-02-24",NA,NA,"L1000672"
"2011-02-25",NA,0.96,"L1000672"
"2011-02-26",NA,NA,"L1000672"
"2011-02-27",NA,NA,"L1000672"
"2011-02-28",NA,NA,"L1000672"
"2011-03-01",NA,NA,"L1000672"
"2011-03-02",NA,NA,"L1000672"
"2011-03-03",NA,0.711,"L1000672"
"2011-03-04",NA,NA,"L1000672"
"2011-03-05",NA,NA,"L1000672"
"2011-03-06",NA,NA,"L1000672"
"2011-03-07",NA,NA,"L1000672"
"2011-03-08",NA,NA,"L1000672"
"2011-03-09",1.64,0.719,"L1000672"
"2011-03-10",NA,NA,"L1000672"
"2011-03-11",NA,NA,"L1000672"
"2011-03-12",NA,NA,"L1000672"
"2011-03-13",NA,NA,"L1000672"
"2011-03-14",NA,NA,"L1000672"
"2011-03-15",4.59,0.899,"L1000672"
"2011-03-16",NA,NA,"L1000672"
"2011-03-17",NA,NA,"L1000672"
"2011-03-18",NA,NA,"L1000672"
"2011-03-19",NA,NA,"L1000672"
"2011-03-20",NA,NA,"L1000672"
"2011-03-21",4.02,0.361,"L1000672"
"2011-03-22",NA,NA,"L1000672"
"2011-03-23",NA,NA,"L1000672"
"2011-03-24",NA,NA,"L1000672"
"2011-03-25",NA,NA,"L1000672"
"2011-03-26",NA,NA,"L1000672"
"2011-03-27",7.59,0.226,"L1000672"
"2011-03-28",NA,NA,"L1000672"
"2011-03-29",NA,NA,"L1000672"
"2011-03-30",NA,NA,"L1000672"
"2011-03-31",NA,NA,"L1000672"
"2011-04-01",NA,NA,"L1000672"
"2011-04-02",3.29,0.593,"L1000672"
"2011-04-03",NA,NA,"L1000672"
"2011-04-04",NA,NA,"L1000672"
"2011-04-05",NA,NA,"L1000672"
"2011-04-06",NA,NA,"L1000672"
"2011-04-07",NA,NA,"L1000672"
"2011-04-08",5.58,0.691,"L1000672"
"2011-04-09",NA,NA,"L1000672"
"2011-04-10",NA,NA,"L1000672"
"2011-04-11",NA,NA,"L1000672"
"2011-04-12",NA,NA,"L1000672"
"2011-04-13",NA,NA,"L1000672"
"2011-04-14",2.71,0.479,"L1000672"
"2011-04-15",NA,NA,"L1000672"
"2011-04-16",NA,NA,"L1000672"
"2011-04-17",NA,NA,"L1000672"
"2011-04-18",NA,NA,"L1000672"
"2011-04-19",NA,NA,"L1000672"
"2011-04-20",5.61,0.449,"L1000672"
"2011-04-21",NA,NA,"L1000672"
"2011-04-22",NA,NA,"L1000672"
"2011-04-23",NA,NA,"L1000672"
"2011-04-24",NA,NA,"L1000672"
"2011-04-25",NA,NA,"L1000672"
"2011-04-26",2.53,0.328,"L1000672"
"2011-04-27",NA,NA,"L1000672"
"2011-04-28",NA,NA,"L1000672"
"2011-04-29",NA,NA,"L1000672"
"2011-04-30",NA,NA,"L1000672"
"2011-05-01",NA,NA,"L1000672"
