"Date","sulfate","nitrate","ID"
"2011-01-01",NA,NA,"L2000703"
"2011-01-02",NA,NA,"L2000703"
"2011-01-03",NA,NA,"L2000703"
"2011-01-04",NA,NA,"L2000703"
"2011-01-05",NA,NA,"L2000703"
"2011-01-06",NA,NA,"L2000703"
"2011-01-07",NA,NA,"L2000703"
"2011-01-08",NA,NA,"L2000703"
"2011-01-09",NA,NA,"L2000703"
"2011-01-10",NA,NA,"L2000703"
"2011-01-11",NA,NA,"L2000703"
"2011-01-12",NA,NA,"L2000703"
"2011-01-13",NA,NA,"L2000703"
"2011-01-14",NA,NA,"L2000703"
"2011-01-15",NA,NA,"L2000703"
"2011-01-16",NA,NA,"L2000703"
"2011-01-17",NA,NA,"L2000703"
"2011-01-18",NA,NA,"L2000703"
"2011-01-19",NA,NA,"L2000703"
"2011-01-20",NA,NA,"L2000703"
"2011-01-21",NA,NA,"L2000703"
"2011-01-22",NA,NA,"L2000703"
"2011-01-23",NA,NA,"L2000703"
"2011-01-24",NA,NA,"L2000703"
"2011-01-25",NA,NA,"L2000703"
"2011-01-26",NA,NA,"L2000703"
"2011-01-27",NA,NA,"L2000703"
"2011-01-28",NA,NA,"L2000703"
"2011-01-29",NA,NA,"L2000703"
"2011-01-30",NA,NA,"L2000703"
"2011-01-31",NA,NA,"L2000703"
"2011-02-01",NA,NA,"L2000703"
"2011-02-02",NA,NA,"L2000703"
"2011-02-03",NA,NA,"L2000703"
"2011-02-04",NA,NA,"L2000703"
"2011-02-05",NA,NA,"L2000703"
"2011-02-06",NA,NA,"L2000703"
"2011-02-07",NA,NA,"L2000703"
"2011-02-08",NA,NA,"L2000703"
"2011-02-09",NA,NA,"L2000703"
"2011-02-10",NA,NA,"L2000703"
"2011-02-11",NA,NA,"L2000703"
"2011-02-12",NA,NA,"L2000703"
"2011-02-13",NA,NA,"L2000703"
"2011-02-14",NA,NA,"L2000703"
"2011-02-15",NA,NA,"L2000703"
"2011-02-16",NA,NA,"L2000703"
"2011-02-17",NA,NA,"L2000703"
"2011-02-18",NA,NA,"L2000703"
"2011-02-19",NA,NA,"L2000703"
"2011-02-20",NA,NA,"L2000703"
"2011-02-21",NA,NA,"L2000703"
"2011-02-22",NA,NA,"L2000703"
"2011-02-23",NA,NA,"L2000703"
"2011-02-24",NA,NA,"L2000703"
"2011-02-25",NA,NA,"L2000703"
"2011-02-26",NA,NA,"L2000703"
"2011-02-27",NA,NA,"L2000703"
"2011-02-28",NA,NA,"L2000703"
"2011-03-01",NA,NA,"L2000703"
"2011-03-02",NA,NA,"L2000703"
"2011-03-03",2.27,3.16,"L2000703"
"2011-03-04",NA,NA,"L2000703"
"2011-03-05",NA,NA,"L2000703"
"2011-03-06",NA,NA,"L2000703"
"2011-03-07",NA,NA,"L2000703"
"2011-03-08",NA,NA,"L2000703"
"2011-03-09",NA,NA,"L2000703"
"2011-03-10",NA,NA,"L2000703"
"2011-03-11",NA,NA,"L2000703"
"2011-03-12",NA,NA,"L2000703"
"2011-03-13",NA,NA,"L2000703"
"2011-03-14",NA,NA,"L2000703"
"2011-03-15",5.91,0.95,"L2000703"
"2011-03-16",NA,NA,"L2000703"
"2011-03-17",NA,NA,"L2000703"
"2011-03-18",NA,NA,"L2000703"
"2011-03-19",NA,NA,"L2000703"
"2011-03-20",NA,NA,"L2000703"
"2011-03-21",3.07,0.953,"L2000703"
"2011-03-22",NA,NA,"L2000703"
"2011-03-23",NA,NA,"L2000703"
"2011-03-24",NA,NA,"L2000703"
"2011-03-25",NA,NA,"L2000703"
"2011-03-26",NA,NA,"L2000703"
"2011-03-27",4.51,1.09,"L2000703"
"2011-03-28",NA,NA,"L2000703"
"2011-03-29",NA,NA,"L2000703"
"2011-03-30",NA,NA,"L2000703"
"2011-03-31",NA,NA,"L2000703"
"2011-04-01",NA,NA,"L2000703"
"2011-04-02",3.33,0.364,"L2000703"
"2011-04-03",NA,NA,"L2000703"
"2011-04-04",NA,NA,"L2000703"
"2011-04-05",NA,NA,"L2000703"
"2011-04-06",NA,NA,"L2000703"
"2011-04-07",NA,NA,"L2000703"
"2011-04-08",5.38,0.87,"L2000703"
"2011-04-09",NA,NA,"L2000703"
"2011-04-10",NA,NA,"L2000703"
"2011-04-11",NA,NA,"L2000703"
"2011-04-12",NA,NA,"L2000703"
"2011-04-13",NA,NA,"L2000703"
"2011-04-14",2.62,0.611,"L2000703"
"2011-04-15",NA,NA,"L2000703"
"2011-04-16",NA,NA,"L2000703"
"2011-04-17",NA,NA,"L2000703"
"2011-04-18",NA,NA,"L2000703"
"2011-04-19",NA,NA,"L2000703"
"2011-04-20",7.29,0.653,"L2000703"
"2011-04-21",NA,NA,"L2000703"
"2011-04-22",NA,NA,"L2000703"
"2011-04-23",NA,NA,"L2000703"
"2011-04-24",NA,NA,"L2000703"
"2011-04-25",NA,NA,"L2000703"
"2011-04-26",2.07,0.756,"L2000703"
"2011-04-27",NA,NA,"L2000703"
"2011-04-28",NA,NA,"L2000703"
"2011-04-29",NA,NA,"L2000703"
"2011-04-30",NA,NA,"L2000703"
"2011-05-01",NA,NA,"L2000703"
"2011-05-02",6.29,0.9,"L2000703"
"2011-05-03",NA,NA,"L2000703"
"2011-05-04",NA,NA,"L2000703"
"2011-05-05",NA,NA,"L2000703"
"2011-05-06",NA,NA,"L2000703"
"2011-05-07",NA,NA,"L2000703"
"2011-05-08",8.67,1.11,"L2000703"
"2011-05-09",NA,NA,"L2000703"
"2011-05-10",NA,NA,"L2000703"
"2011-05-11",NA,NA,"L2000703"
"2011-05-12",NA,NA,"L2000703"
"2011-05-13",NA,NA,"L2000703"
"2011-05-14",4.27,0.286,"L2000703"
"2011-05-15",NA,NA,"L2000703"
"2011-05-16",NA,NA,"L2000703"
"2011-05-17",NA,NA,"L2000703"
"2011-05-18",NA,NA,"L2000703"
"2011-05-19",NA,NA,"L2000703"
"2011-05-20",NA,NA,"L2000703"
"2011-05-21",NA,NA,"L2000703"
"2011-05-22",NA,NA,"L2000703"
"2011-05-23",NA,NA,"L2000703"
"2011-05-24",NA,NA,"L2000703"
"2011-05-25",NA,NA,"L2000703"
"2011-05-26",9.15,0.746,"L2000703"
"2011-05-27",NA,NA,"L2000703"
"2011-05-28",NA,NA,"L2000703"
"2011-05-29",NA,NA,"L2000703"
"2011-05-30",NA,NA,"L2000703"
"2011-05-31",NA,NA,"L2000703"
"2011-06-01",6.05,0.377,"L2000703"
"2011-06-02",NA,NA,"L2000703"
"2011-06-03",NA,NA,"L2000703"
"2011-06-04",NA,NA,"L2000703"
"2011-06-05",NA,NA,"L2000703"
"2011-06-06",NA,NA,"L2000703"
"2011-06-07",7.99,1.6,"L2000703"
"2011-06-08",NA,NA,"L2000703"
"2011-06-09",NA,NA,"L2000703"
"2011-06-10",NA,NA,"L2000703"
"2011-06-11",NA,NA,"L2000703"
"2011-06-12",NA,NA,"L2000703"
"2011-06-13",13,0.556,"L2000703"
"2011-06-14",NA,NA,"L2000703"
"2011-06-15",NA,NA,"L2000703"
"2011-06-16",NA,NA,"L2000703"
"2011-06-17",NA,NA,"L2000703"
"2011-06-18",NA,NA,"L2000703"
"2011-06-19",6.07,0.618,"L2000703"
"2011-06-20",NA,NA,"L2000703"
"2011-06-21",NA,NA,"L2000703"
"2011-06-22",NA,NA,"L2000703"
"2011-06-23",NA,NA,"L2000703"
"2011-06-24",NA,NA,"L2000703"
"2011-06-25",2.24,0.484,"L2000703"
"2011-06-26",NA,NA,"L2000703"
"2011-06-27",NA,NA,"L2000703"
"2011-06-28",NA,NA,"L2000703"
"2011-06-29",NA,NA,"L2000703"
"2011-06-30",NA,NA,"L2000703"
"2011-07-01",6.73,0.693,"L2000703"
