"Date","sulfate","nitrate","ID"
"2012-01-01",NA,NA,"L1000601"
"2012-01-02",NA,NA,"L1000601"
"2012-01-03",NA,NA,"L1000601"
"2012-01-04",NA,NA,"L1000601"
"2012-01-05",NA,NA,"L1000601"
"2012-01-06",NA,NA,"L1000601"
"2012-01-07",NA,NA,"L1000601"
"2012-01-08",NA,NA,"L1000601"
"2012-01-09",3.79,2.49,"L1000601"
"2012-01-10",NA,NA,"L1000601"
"2012-01-11",NA,NA,"L1000601"
"2012-01-12",NA,NA,"L1000601"
"2012-01-13",NA,NA,"L1000601"
"2012-01-14",NA,NA,"L1000601"
"2012-01-15",NA,NA,"L1000601"
"2012-01-16",NA,NA,"L1000601"
"2012-01-17",NA,NA,"L1000601"
"2012-01-18",NA,NA,"L1000601"
"2012-01-19",NA,NA,"L1000601"
"2012-01-20",NA,NA,"L1000601"
"2012-01-21",2.99,3.79,"L1000601"
"2012-01-22",NA,NA,"L1000601"
"2012-01-23",NA,NA,"L1000601"
"2012-01-24",NA,NA,"L1000601"
"2012-01-25",NA,NA,"L1000601"
"2012-01-26",NA,NA,"L1000601"
"2012-01-27",2.3,3.4,"L1000601"
"2012-01-28",NA,NA,"L1000601"
"2012-01-29",NA,NA,"L1000601"
"2012-01-30",NA,NA,"L1000601"
"2012-01-31",NA,NA,"L1000601"
"2012-02-01",NA,NA,"L1000601"
"2012-02-02",3.63,1.6,"L1000601"
"2012-02-03",NA,NA,"L1000601"
"2012-02-04",NA,NA,"L1000601"
"2012-02-05",NA,NA,"L1000601"
"2012-02-06",NA,NA,"L1000601"
"2012-02-07",NA,NA,"L1000601"
"2012-02-08",2.33,3.61,"L1000601"
"2012-02-09",NA,NA,"L1000601"
"2012-02-10",NA,NA,"L1000601"
"2012-02-11",NA,NA,"L1000601"
"2012-02-12",NA,NA,"L1000601"
"2012-02-13",NA,NA,"L1000601"
"2012-02-14",2.37,3.24,"L1000601"
"2012-02-15",NA,NA,"L1000601"
"2012-02-16",NA,NA,"L1000601"
"2012-02-17",NA,NA,"L1000601"
"2012-02-18",NA,NA,"L1000601"
"2012-02-19",NA,NA,"L1000601"
"2012-02-20",6.36,4.45,"L1000601"
"2012-02-21",NA,NA,"L1000601"
"2012-02-22",NA,NA,"L1000601"
"2012-02-23",NA,NA,"L1000601"
"2012-02-24",NA,NA,"L1000601"
"2012-02-25",NA,NA,"L1000601"
"2012-02-26",5.75,4.68,"L1000601"
"2012-02-27",NA,NA,"L1000601"
"2012-02-28",NA,NA,"L1000601"
"2012-03-01",NA,NA,"L1000601"
"2012-03-02",NA,NA,"L1000601"
"2012-03-03",NA,NA,"L1000601"
"2012-03-04",NA,1.83,"L1000601"
"2012-03-05",NA,NA,"L1000601"
"2012-03-06",NA,NA,"L1000601"
"2012-03-07",NA,NA,"L1000601"
"2012-03-08",NA,NA,"L1000601"
"2012-03-09",NA,NA,"L1000601"
"2012-03-10",NA,NA,"L1000601"
"2012-03-11",NA,NA,"L1000601"
"2012-03-12",NA,NA,"L1000601"
