"Date","sulfate","nitrate","ID"
"2013-01-01",2.77,1.6,"L2000360"
"2013-01-02",NA,NA,"L2000360"
"2013-01-03",NA,NA,"L2000360"
"2013-01-04",1.82,0.527,"L2000360"
"2013-01-05",NA,NA,"L2000360"
"2013-01-06",NA,NA,"L2000360"
"2013-01-07",NA,0.58,"L2000360"
"2013-01-08",NA,NA,"L2000360"
"2013-01-09",NA,NA,"L2000360"
"2013-01-10",4.33,0.546,"L2000360"
"2013-01-11",NA,NA,"L2000360"
"2013-01-12",NA,NA,"L2000360"
"2013-01-13",4.58,0.848,"L2000360"
"2013-01-14",NA,NA,"L2000360"
"2013-01-15",NA,NA,"L2000360"
"2013-01-16",NA,2.01,"L2000360"
"2013-01-17",NA,NA,"L2000360"
"2013-01-18",NA,NA,"L2000360"
"2013-01-19",2.44,0.648,"L2000360"
"2013-01-20",NA,NA,"L2000360"
"2013-01-21",NA,NA,"L2000360"
"2013-01-22",4.13,1.81,"L2000360"
"2013-01-23",NA,NA,"L2000360"
"2013-01-24",NA,NA,"L2000360"
"2013-01-25",2.56,1.6,"L2000360"
"2013-01-26",NA,NA,"L2000360"
"2013-01-27",NA,NA,"L2000360"
"2013-01-28",1.45,0.778,"L2000360"
"2013-01-29",NA,NA,"L2000360"
"2013-01-30",NA,NA,"L2000360"
"2013-01-31",9.15,2.75,"L2000360"
"2013-02-01",NA,NA,"L2000360"
"2013-02-02",NA,NA,"L2000360"
"2013-02-03",0.0345,0.089,"L2000360"
"2013-02-04",NA,NA,"L2000360"
"2013-02-05",NA,NA,"L2000360"
"2013-02-06",1.4,0.5,"L2000360"
"2013-02-07",NA,NA,"L2000360"
"2013-02-08",NA,NA,"L2000360"
"2013-02-09",4.39,0.83,"L2000360"
"2013-02-10",NA,NA,"L2000360"
"2013-02-11",NA,NA,"L2000360"
"2013-02-12",3.28,0.937,"L2000360"
"2013-02-13",NA,NA,"L2000360"
"2013-02-14",NA,NA,"L2000360"
"2013-02-15",1.87,0.473,"L2000360"
"2013-02-16",NA,NA,"L2000360"
"2013-02-17",NA,NA,"L2000360"
"2013-02-18",6.41,0.756,"L2000360"
"2013-02-19",NA,NA,"L2000360"
"2013-02-20",NA,NA,"L2000360"
"2013-02-21",5.53,0.666,"L2000360"
"2013-02-22",NA,NA,"L2000360"
"2013-02-23",NA,NA,"L2000360"
"2013-02-24",2.64,0.294,"L2000360"
"2013-02-25",NA,NA,"L2000360"
"2013-02-26",NA,NA,"L2000360"
"2013-02-27",5.04,0.428,"L2000360"
"2013-02-28",NA,NA,"L2000360"
"2013-02-29",NA,NA,"L2000360"
"2013-03-01",2.01,0.761,"L2000360"
"2013-03-02",NA,NA,"L2000360"
"2013-03-03",NA,NA,"L2000360"
"2013-03-04",1.94,0.871,"L2000360"
"2013-03-05",NA,NA,"L2000360"
"2013-03-06",NA,NA,"L2000360"
"2013-03-07",10.8,1.28,"L2000360"
"2013-03-08",NA,NA,"L2000360"
"2013-03-09",NA,NA,"L2000360"
"2013-03-10",2.54,0.848,"L2000360"
"2013-03-11",NA,NA,"L2000360"
"2013-03-12",NA,NA,"L2000360"
"2013-03-13",6.29,0.982,"L2000360"
"2013-03-14",NA,NA,"L2000360"
"2013-03-15",NA,NA,"L2000360"
"2013-03-16",NA,NA,"L2000360"
"2013-03-17",NA,NA,"L2000360"
"2013-03-18",NA,NA,"L2000360"
"2013-03-19",2.77,0.668,"L2000360"
"2013-03-20",NA,NA,"L2000360"
"2013-03-21",NA,NA,"L2000360"
"2013-03-22",3.4,0.741,"L2000360"
"2013-03-23",NA,NA,"L2000360"
"2013-03-24",NA,NA,"L2000360"
"2013-03-25",1.05,0.468,"L2000360"
"2013-03-26",NA,NA,"L2000360"
"2013-03-27",NA,NA,"L2000360"
"2013-03-28",2.15,0.611,"L2000360"
"2013-03-29",NA,NA,"L2000360"
"2013-03-30",NA,NA,"L2000360"
"2013-03-31",2.69,0.88,"L2000360"
"2013-04-01",NA,NA,"L2000360"
"2013-04-02",NA,NA,"L2000360"
"2013-04-03",4.65,0.518,"L2000360"
"2013-04-04",NA,NA,"L2000360"
"2013-04-05",NA,NA,"L2000360"
"2013-04-06",4.22,1.1,"L2000360"
"2013-04-07",NA,NA,"L2000360"
"2013-04-08",NA,NA,"L2000360"
"2013-04-09",5.59,0.75,"L2000360"
"2013-04-10",NA,NA,"L2000360"
"2013-04-11",NA,NA,"L2000360"
"2013-04-12",1.5,0.365,"L2000360"
"2013-04-13",NA,NA,"L2000360"
"2013-04-14",NA,NA,"L2000360"
"2013-04-15",3.26,0.588,"L2000360"
"2013-04-16",NA,NA,"L2000360"
"2013-04-17",NA,NA,"L2000360"
"2013-04-18",2.26,0.531,"L2000360"
"2013-04-19",NA,NA,"L2000360"
"2013-04-20",NA,NA,"L2000360"
"2013-04-21",3.16,0.767,"L2000360"
"2013-04-22",NA,NA,"L2000360"
"2013-04-23",NA,NA,"L2000360"
"2013-04-24",3.35,0.669,"L2000360"
"2013-04-25",NA,NA,"L2000360"
"2013-04-26",NA,NA,"L2000360"
"2013-04-27",2.77,0.537,"L2000360"
"2013-04-28",NA,NA,"L2000360"
"2013-04-29",NA,NA,"L2000360"
"2013-04-30",3.08,0.667,"L2000360"
"2013-05-01",NA,NA,"L2000360"
"2013-05-02",NA,NA,"L2000360"
"2013-05-03",1.72,0.4,"L2000360"
"2013-05-04",NA,NA,"L2000360"
"2013-05-05",NA,NA,"L2000360"
"2013-05-06",5.72,1.09,"L2000360"
"2013-05-07",NA,NA,"L2000360"
"2013-05-08",NA,NA,"L2000360"
"2013-05-09",6.36,0.587,"L2000360"
"2013-05-10",NA,NA,"L2000360"
"2013-05-11",NA,NA,"L2000360"
"2013-05-12",5.66,1.13,"L2000360"
"2013-05-13",NA,NA,"L2000360"
"2013-05-14",NA,NA,"L2000360"
"2013-05-15",2.05,0.551,"L2000360"
"2013-05-16",NA,NA,"L2000360"
"2013-05-17",NA,NA,"L2000360"
"2013-05-18",4.81,0.602,"L2000360"
"2013-05-19",NA,NA,"L2000360"
"2013-05-20",NA,NA,"L2000360"
